what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1531810543824
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1531810545501
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531810554104
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531810556201
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531810557444
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531810599134
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531810601419
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531810605713
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1531810646829
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1531810668263
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.gotoLastEditPosition",1531810668263
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1531810670718
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1531810671477
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1531810703993
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531810706798
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531810767066
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1531810803324
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1531810810330
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531810826081
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531810852882
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531810860918
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531810861068
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531810861178
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1531810879051
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1531810879191
